epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,576.686,0.98919,0.79136,1.15943,0.80308,0.82337,0.84792,0.59257,1.07586,0.88306,1.20738,0.0008714,0.0008714,0.0008714
59,587.925,0.93894,0.74273,1.12328,0.85115,0.83596,0.88644,0.66829,0.97722,0.76219,1.14926,0.0008516,0.0008516,0.0008516
60,596.913,0.95392,0.75962,1.13784,0.83188,0.86435,0.88767,0.68132,0.9597,0.72333,1.12562,0.0008318,0.0008318,0.0008318
61,609.644,0.94778,0.74104,1.12917,0.8486,0.84874,0.89713,0.67152,0.97119,0.74073,1.13812,0.000812,0.000812,0.000812
62,618.175,0.92624,0.74954,1.11657,0.92144,0.81398,0.89917,0.67451,0.97433,0.70524,1.13288,0.0007922,0.0007922,0.0007922
63,627.393,0.93489,0.74672,1.12561,0.91776,0.81388,0.89096,0.63936,1.04441,0.72634,1.18356,0.0007724,0.0007724,0.0007724
64,638.968,0.95555,0.7632,1.13873,0.83877,0.82334,0.86062,0.639,1.02674,0.78995,1.1754,0.0007526,0.0007526,0.0007526
65,649.196,0.91747,0.71033,1.11287,0.85572,0.84543,0.89077,0.67536,0.96978,0.71691,1.1486,0.0007328,0.0007328,0.0007328
66,656.694,0.90271,0.69275,1.10787,0.87459,0.85795,0.90927,0.69582,0.97509,0.667,1.15472,0.000713,0.000713,0.000713
67,668.566,0.8968,0.6925,1.11379,0.90648,0.85617,0.89818,0.68231,0.96498,0.6636,1.13221,0.0006932,0.0006932,0.0006932
68,677.781,0.88315,0.67398,1.094,0.90329,0.83912,0.89717,0.68076,0.97536,0.69344,1.14072,0.0006734,0.0006734,0.0006734
69,686.198,0.88647,0.68785,1.10013,0.90811,0.84227,0.90812,0.69223,0.94284,0.68771,1.1297,0.0006536,0.0006536,0.0006536
70,698.067,0.88868,0.668,1.09069,0.89273,0.84013,0.90564,0.70382,0.9161,0.65713,1.11042,0.0006338,0.0006338,0.0006338
71,709.986,0.88939,0.67711,1.10605,0.90625,0.85804,0.90995,0.71143,0.87646,0.65121,1.08886,0.000614,0.000614,0.000614
72,720.783,0.85913,0.67028,1.08349,0.91659,0.84227,0.90054,0.69921,0.90231,0.68905,1.10369,0.0005942,0.0005942,0.0005942
73,728.723,0.88377,0.67531,1.1029,0.89007,0.87066,0.90099,0.69807,0.90521,0.70303,1.10503,0.0005744,0.0005744,0.0005744
74,739.85,0.85599,0.66813,1.0772,0.93099,0.85116,0.91495,0.71081,0.8942,0.65339,1.09726,0.0005546,0.0005546,0.0005546
75,749.934,0.85028,0.65789,1.0804,0.93344,0.85804,0.91661,0.70694,0.9056,0.6417,1.11367,0.0005348,0.0005348,0.0005348
76,758.256,0.81913,0.62047,1.04476,0.88859,0.85804,0.9073,0.69131,0.9441,0.67162,1.14059,0.000515,0.000515,0.000515
77,769.369,0.83689,0.65523,1.08009,0.90994,0.86052,0.9053,0.69561,0.9538,0.68004,1.13918,0.0004952,0.0004952,0.0004952
78,779.449,0.85056,0.6348,1.07316,0.88977,0.87697,0.90603,0.70394,0.88946,0.66036,1.09768,0.0004754,0.0004754,0.0004754
79,788.243,0.81913,0.6167,1.06134,0.93157,0.8612,0.91278,0.72154,0.85031,0.64585,1.07553,0.0004556,0.0004556,0.0004556
80,797.505,0.81032,0.62203,1.05729,0.90259,0.87686,0.91194,0.72645,0.83831,0.64348,1.07796,0.0004358,0.0004358,0.0004358
81,809.711,0.80732,0.61818,1.0485,0.90928,0.86751,0.91042,0.70103,0.88319,0.66457,1.11208,0.000416,0.000416,0.000416
82,820.012,0.80567,0.62208,1.06,0.90763,0.88013,0.91239,0.72336,0.83481,0.62163,1.0822,0.0003962,0.0003962,0.0003962
83,827.969,0.77732,0.59807,1.04332,0.92493,0.86751,0.91573,0.72568,0.85008,0.61501,1.09717,0.0003764,0.0003764,0.0003764
84,838.734,0.79691,0.60523,1.04082,0.93371,0.8612,0.91194,0.73372,0.81315,0.61654,1.08061,0.0003566,0.0003566,0.0003566
85,849.586,0.83124,0.6411,1.06441,0.91987,0.86918,0.91497,0.73101,0.8257,0.62957,1.07692,0.0003368,0.0003368,0.0003368
86,858.04,0.77288,0.58897,1.04751,0.93209,0.86597,0.92626,0.75246,0.80074,0.58987,1.06126,0.000317,0.000317,0.000317
87,867.453,0.76786,0.58719,1.03919,0.90633,0.88644,0.91737,0.74244,0.81523,0.60356,1.06018,0.0002972,0.0002972,0.0002972
88,879.098,0.76437,0.58032,1.04026,0.88141,0.89096,0.9146,0.73698,0.82863,0.61843,1.07233,0.0002774,0.0002774,0.0002774
89,889.287,0.75277,0.57696,1.02988,0.90201,0.87111,0.9166,0.7299,0.84311,0.64654,1.08097,0.0002576,0.0002576,0.0002576
90,898.023,0.76329,0.57316,1.04451,0.91683,0.86938,0.92167,0.74913,0.79818,0.61445,1.05486,0.0002378,0.0002378,0.0002378
91,910.61,0.76961,0.70714,1.00599,0.92658,0.83605,0.91008,0.73179,0.81396,0.62064,1.06489,0.000218,0.000218,0.000218
92,920.708,0.71138,0.54959,0.98971,0.87998,0.87382,0.90487,0.71688,0.84932,0.65011,1.0855,0.0001982,0.0001982,0.0001982
93,930.268,0.70884,0.51561,0.98864,0.89265,0.87066,0.90232,0.70375,0.88292,0.6352,1.11611,0.0001784,0.0001784,0.0001784
94,939.277,0.67788,0.48695,0.97284,0.90126,0.86383,0.89772,0.70383,0.84598,0.65062,1.09999,0.0001586,0.0001586,0.0001586
95,949.978,0.66041,0.48844,0.97524,0.91694,0.83582,0.90314,0.71037,0.84007,0.65284,1.0893,0.0001388,0.0001388,0.0001388
96,959.781,0.63117,0.46366,0.95581,0.93469,0.84227,0.90864,0.72649,0.81728,0.63554,1.0761,0.000119,0.000119,0.000119
97,968.491,0.65053,0.44966,0.96488,0.90607,0.88247,0.91045,0.73471,0.79976,0.62214,1.06798,9.92e-05,9.92e-05,9.92e-05
98,977.841,0.62147,0.47295,0.94504,0.93905,0.8612,0.91253,0.7374,0.79461,0.61695,1.06661,7.94e-05,7.94e-05,7.94e-05
99,987.772,0.61809,0.44369,0.9466,0.93954,0.86435,0.91374,0.73491,0.801,0.61382,1.07101,5.96e-05,5.96e-05,5.96e-05
100,996.707,0.64719,0.44818,0.95634,0.93828,0.86435,0.91526,0.73941,0.79815,0.61305,1.07012,3.98e-05,3.98e-05,3.98e-05
